# x_m,y_m,w_tr_right_m,w_tr_left_m
2.0435,-17.5208,1.1500,1.1500
2.0435,-17.5708,1.1500,1.1500
2.0435,-17.6208,1.1500,1.1500
2.0435,-17.6708,1.1500,1.1500
2.0935,-17.7208,1.1000,1.1000
2.0935,-17.7708,1.1000,1.1000
2.0935,-17.8208,1.1000,1.1000
2.0935,-17.8708,1.1000,1.1000
2.0935,-17.9208,1.1000,1.1000
2.0935,-17.9708,1.1010,1.1010
2.0935,-18.0208,1.1042,1.1042
2.0935,-18.0708,1.1093,1.1093
2.0935,-18.1208,1.1166,1.1166
2.1435,-18.1708,1.0769,1.0769
2.1435,-18.2208,1.0885,1.0885
2.1435,-18.2708,1.1000,1.1000
2.1435,-18.3208,1.1000,1.1000
2.1435,-18.3708,1.1000,1.1000
2.1435,-18.4208,1.1010,1.1010
2.1435,-18.4708,1.1042,1.1042
2.1435,-18.5208,1.1093,1.1093
2.1935,-18.5708,1.0673,1.0673
2.1935,-18.6208,1.0769,1.0769
2.1935,-18.6708,1.0885,1.0885
2.1935,-18.7208,1.1000,1.1000
2.1935,-18.7708,1.1000,1.1000
2.1935,-18.8208,1.1010,1.1010
2.1935,-18.8708,1.1042,1.1042
2.1935,-18.9208,1.1093,1.1093
2.1935,-18.9708,1.1166,1.1166
2.2435,-19.0208,1.0769,1.0769
2.2435,-19.0708,1.0885,1.0885
2.2435,-19.1208,1.1010,1.1010
2.2435,-19.1708,1.1042,1.1042
2.2435,-19.2208,1.1093,1.1093
2.2435,-19.2708,1.1166,1.1166
2.2435,-19.3208,1.1021,1.1021
2.2435,-19.3708,1.0885,1.0885
2.2435,-19.4208,1.0769,1.0769
2.2935,-19.4708,1.1093,1.1093
2.2935,-19.5208,1.1093,1.1093
2.2935,-19.5708,1.1042,1.1042
2.2935,-19.6208,1.1010,1.1010
2.2935,-19.6708,1.0885,1.0885
2.2935,-19.7208,1.0769,1.0769
2.2935,-19.7708,1.0673,1.0673
2.2935,-19.8208,1.0597,1.0597
2.2935,-19.8708,1.0543,1.0543
2.2935,-19.9208,1.0511,1.0511
2.2935,-19.9708,1.0500,1.0500
2.2935,-20.0208,1.0402,1.0402
2.2935,-20.0708,1.0281,1.0281
2.2935,-20.1208,1.0180,1.0180
2.2935,-20.1708,1.0102,1.0102
2.3435,-20.2208,1.0543,1.0543
2.3435,-20.2708,1.0511,1.0511
2.3435,-20.3208,1.0500,1.0500
2.3435,-20.3708,1.0500,1.0500
2.3435,-20.4208,1.0500,1.0500
2.3435,-20.4708,1.0500,1.0500
2.3435,-20.5208,1.0500,1.0500
2.3435,-20.5708,1.0500,1.0500
2.3435,-20.6208,1.0500,1.0500
2.3435,-20.6708,1.0500,1.0500
2.3935,-20.7208,1.1000,1.1000
2.3935,-20.7708,1.1010,1.1010
2.3935,-20.8208,1.1042,1.1042
2.3935,-20.8708,1.1093,1.1093
2.3935,-20.9208,1.1166,1.1166
2.3935,-20.9708,1.1258,1.1258
2.3935,-21.0208,1.1369,1.1369
2.3935,-21.0708,1.1500,1.1500
2.4435,-21.1208,1.2010,1.2010
2.4435,-21.1708,1.2038,1.2038
2.4435,-21.2208,1.2086,1.2086
2.4435,-21.2708,1.2153,1.2153
2.4435,-21.3208,1.2238,1.2238
2.4935,-21.3708,1.2829,1.2829
2.4935,-21.4208,1.2946,1.2946
2.5435,-21.4708,1.3431,1.3431
2.5435,-21.5208,1.3318,1.3318
2.5435,-21.5708,1.3221,1.3221
2.5435,-21.6208,1.3142,1.3142
2.5435,-21.6708,1.3080,1.3080
2.5935,-21.7208,1.3534,1.3534
2.6435,-21.7708,1.4008,1.4008
2.6435,-21.8208,1.4000,1.4000
